,precision,recall,f1-score,support
yue,1.0,1.0,1.0,745.0
bos,1.0,0.892933618843683,0.9434389140271493,467.0
hrv,0.9297752808988764,1.0,0.9636098981077147,662.0
kam,1.0,0.997737556561086,0.9988674971687429,442.0
cmn,1.0,1.0,1.0,281.0
swh,1.0,1.0,1.0,485.0
zsm,0.0,0.0,0.0,1.0
nya,1.0,1.0,1.0,681.0
ind,0.9984152139461173,1.0,0.9992069785884219,630.0
kea,1.0,1.0,1.0,754.0
micro avg,0.990091315329318,0.98989898989899,0.9899951432734339,5148.0
macro avg,0.8928190494844994,0.889067117540477,0.8905123287892028,5148.0
weighted avg,0.9905813560103166,0.98989898989899,0.9898010014874273,5148.0
